"SPECIES_SCIENTIFIC","LONGITUDE","LATITUDE","DATATYPE","OWNER","DAY","MONTH","YEAR","GENUS","SPECIES","date","east_boundary","west_boundary"
"AETOMYLAEUS BOVINUS",30.78576,-30.2543,"ACOUSTIC","PCOWLEY",28,11,2020,"AETOMYLAEUS","BOVINUS",2020-11-28,30.78576,NA
"CARCHARHINUS BREVIPINNA",30.76117,-30.37126,"ACOUSTIC","RDALY",14,10,2020,"CARCHARHINUS","BREVIPINNA",2020-10-14,30.76117,NA
"GALEOCERDO CUVIER",33.01087,-26.0936,"ACOUSTIC","RDALY",16,12,2019,"GALEOCERDO","CUVIER",2019-12-16,33.01087,NA
"AETOBATUS OCELLATUS",33.00739,-26.09768,"ACOUSTIC","PCOWLEY",30,4,2020,"AETOBATUS","OCELLATUS",2020-04-30,33.00739,NA
"RHYNCHOBATUS DJIDDENSIS",32.93602778,-26.75411111,"ACOUSTIC","BMANN",16,2,2019,"RHYNCHOBATUS","DJIDDENSIS",2019-02-16,32.93602778,NA
"SPECIES",19.11148,-34.41415,"BRUV","SASC",19,6,2019,"SPECIES","",2019-06-19,19.11148,NA
"MACULABATIS AMBIGUA",32.69273,-27.54176,"BRUV","SHARKLIFE",2,7,2021,"MACULABATIS","AMBIGUA",2021-07-02,32.69273,NA
"HIMANTURA FAI",32.69273,-27.54176,"BRUV","SHARKLIFE",2,7,2021,"HIMANTURA","FAI",2021-07-02,32.69273,NA
"HEMIPRISTIS ELONGATA",32.724609,-27.438126,"BRUV","SHARKLIFE",24,3,2021,"HEMIPRISTIS","ELONGATA",2021-03-24,32.724609,NA
"CARCHARHINUS LEUCAS",32.724609,-27.438126,"BRUV","SHARKLIFE",24,3,2021,"CARCHARHINUS","LEUCAS",2021-03-24,32.724609,NA
"CARCHAHINUS LIMBATUS",32.73081,-27.42165,"BRUV","SHARKLIFE",29,9,2021,"CARCHAHINUS","LIMBATUS",2021-09-29,32.73081,NA
"DASYATIDAE",32.73081,-27.42165,"BRUV","SHARKLIFE",29,9,2021,"DASYATIDAE","",2021-09-29,32.73081,NA
"HIMANTURA JENKINSII",32.73081,-27.42165,"BRUV","SHARKLIFE",29,9,2021,"HIMANTURA","JENKINSII",2021-09-29,32.73081,NA
"MANTA ALFREDI",32.73081,-27.42165,"BRUV","SHARKLIFE",29,9,2021,"MANTA","ALFREDI",2021-09-29,32.73081,NA
"MOBULA KUHLII",32.73081,-27.42165,"BRUV","SHARKLIFE",29,9,2021,"MOBULA","KUHLII",2021-09-29,32.73081,NA
"CARCHARHINIDAE SP.",32.87515,-27.0528333333333,"BRUV","NRF-SAIAB MARIP",15,6,2017,"CARCHARHINIDAE","SP.",2017-06-15,32.87515,NA
"RHINIDAE SP.",32.68326,-27.53462,"BRUV","SharkLife",15,11,2020,"RHINIDAE","SP.",2020-11-15,32.68326,NA
"DIPTURUS DOUTREI",23.86879,-34.04078,"BRUV","NRF-SAIAB MARIP",3,6,2019,"DIPTURUS","DOUTREI",2019-06-03,23.86879,NA
"HEPTRANCHIAS PERLO",32.71112,-27.48382,"BRUV","NRF-SAIAB MARIP",14,6,2017,"HEPTRANCHIAS","PERLO",2017-06-14,32.71112,NA
"HALAELURUS LINEATUS",29.8692,-31.43689,"BRUV","NRF-SAIAB MARIP",14,5,2021,"HALAELURUS","LINEATUS",2021-05-14,29.8692,NA
"DIPTURUS PULLOPUNCTATUS",23.86874,-34.0458,"BRUV","NRF-SAIAB MARIP",23,2,2020,"DIPTURUS","PULLOPUNCTATUS",2020-02-23,23.86874,NA
"HEXANCHIDAE SP.",18.433417,-34.168889,"BRUV","SANParks",12,2,2020,"HEXANCHIDAE","SP.",2020-02-12,18.433417,NA
"HALAELURUS NATALENSIS",28.4594506770372,-32.6821599528193,"BRUV","NRF-SAIAB MARIP",17,4,2016,"HALAELURUS","NATALENSIS",2016-04-17,28.4594506770372,NA
"ALOPIAS PELAGICUS",30.0132,-31.3000833333333,"BRUV","NRF-SAIAB MARIP",21,1,2014,"ALOPIAS","PELAGICUS",2014-01-21,30.0132,NA
"CARCHARHINUS ALBIMARGINATUS",32.93974,-26.89912,"BRUV","NRF-SAIAB MARIP",16,11,2020,"CARCHARHINUS","ALBIMARGINATUS",2020-11-16,32.93974,NA
"SQUALUS ACANTHIAS",29.37809,-31.89492,"BRUV","NRF-SAIAB MARIP",23,5,2021,"SQUALUS","ACANTHIAS",2021-05-23,29.37809,NA
"SQUALUS ACUTIPINNIS",28.0609954521059,-33.0714317969977,"BRUV","NRF-SAIAB MARIP",26,3,2016,"SQUALUS","ACUTIPINNIS",2016-03-26,28.0609954521059,NA
"LEUCORAJA WALLACEI",29.47103,-31.73669,"BRUV","NRF-SAIAB MARIP",13,5,2021,"LEUCORAJA","WALLACEI",2021-05-13,29.47103,NA
"RAJA CLAVATA",23.88749,-34.05983,"BRUV","NRF-SAIAB MARIP",16,2,2020,"RAJA","CLAVATA",2020-02-16,23.88749,NA
"SQUALUS MEGALOPS",20.1305,-34.84144,"BRUV","NRF-SAIAB MARIP",21,3,2015,"SQUALUS","MEGALOPS",2015-03-21,20.1305,NA
"RAJA SP.",23.87914,-34.05261,"BRUV","NRF-SAIAB MARIP",21,2,2020,"RAJA","SP.",2020-02-21,23.87914,NA
"MYLIOBATIDAE SP.",32.68985,-27.5173833333333,"BRUV","NRF-SAIAB MARIP",14,11,2016,"MYLIOBATIDAE","SP.",2016-11-14,32.68985,NA
"HAPLOBLEPHARUS EDWARDSII",30.52623,-30.8222,"BRUV","NRF-SAIAB MARIP",11,4,2017,"HAPLOBLEPHARUS","EDWARDSII",2017-04-11,30.52623,NA
"MYLIOBATIS AQUILA",30.1402,-31.1743666666667,"BRUV","NRF-SAIAB MARIP",22,1,2014,"MYLIOBATIS","AQUILA",2014-01-22,30.1402,NA
"HAPLOBLEPHARUS FUSCUS",27.7933508902788,-33.1092952843755,"BRUV","NRF-SAIAB MARIP",18,3,2016,"HAPLOBLEPHARUS","FUSCUS",2016-03-18,27.7933508902788,NA
"BATHYTOSHIA BREVICAUDATA",30.42112,-30.77038,"BRUV","NRF-SAIAB MARIP",13,4,2017,"BATHYTOSHIA","BREVICAUDATA",2017-04-13,30.42112,NA
"RAJA STRAELENI",29.37186,-31.89884,"BRUV","NRF-SAIAB MARIP",23,5,2021,"RAJA","STRAELENI",2021-05-23,29.37186,NA
"HAPLOBLEPHARUS PICTUS",24.7244799882173,-34.2007899843156,"BRUV","NRF-SAIAB MARIP",7,10,2020,"HAPLOBLEPHARUS","PICTUS",2020-10-07,24.7244799882173,NA
"RAJIDAE SP.",32.305109,-28.747617,"BRUV","NRF-SAIAB MARIP",22,10,2020,"RAJIDAE","SP.",2020-10-22,32.305109,NA
"MUSTELUS MUSTELUS",32.75,-27.41764,"BRUV","NRF-SAIAB MARIP",16,6,2018,"MUSTELUS","MUSTELUS",2018-06-16,32.75,NA
"HAPLOBLEPHARUS SP.",23.9574833333333,-34.03738,"BRUV","NRF-SAIAB MARIP",31,5,2019,"HAPLOBLEPHARUS","SP.",2019-05-31,23.9574833333333,NA
"MOBULA SP.",32.7406166666667,-27.4415166666667,"BRUV","NRF-SAIAB MARIP",8,11,2016,"MOBULA","SP.",2016-11-08,32.7406166666667,NA
"CARCHARHINUS AMBLYRHYNCHOS",32.91566,-27.04816,"BRUV","NRF-SAIAB MARIP",13,11,2020,"CARCHARHINUS","AMBLYRHYNCHOS",2020-11-13,32.91566,NA
"BATHYTOSHIA LATA",32.90751,-27.06696,"BRUV","NRF-SAIAB MARIP",13,11,2020,"BATHYTOSHIA","LATA",2020-11-13,32.90751,NA
"CARCHARHINUS BRACHYURUS",32.72145,-27.47809,"BRUV","NRF-SAIAB MARIP",10,6,2017,"CARCHARHINUS","BRACHYURUS",2017-06-10,32.72145,NA
"CARCHARHINUS FALCIFORMIS",32.94791,-26.90628,"BRUV","NRF-SAIAB MARIP",16,11,2020,"CARCHARHINUS","FALCIFORMIS",2020-11-16,32.94791,NA
"CARCHARHINUS HUMANI",32.89409,-26.90368,"BRUV","NRF-SAIAB MARIP",19,6,2017,"CARCHARHINUS","HUMANI",2017-06-19,32.89409,NA
"BATHYTOSHIA SP.",32.66965,-27.6152,"BRUV","NRF-SAIAB MARIP",3,6,2018,"BATHYTOSHIA","SP.",2018-06-03,32.66965,NA
"DASYATIDAE SP.",32.67255,-27.6208166666667,"BRUV","NRF-SAIAB MARIP",3,6,2018,"DASYATIDAE","SP.",2018-06-03,32.67255,NA
"GYMNURA NATALENSIS",32.706388849765,-27.4814482871443,"BRUV","NRF-SAIAB MARIP",13,6,2018,"GYMNURA","NATALENSIS",2018-06-13,32.706388849765,NA
"CARCHARHINUS LIMBATUS",32.93581,-26.91348,"BRUV","NRF-SAIAB MARIP",16,11,2020,"CARCHARHINUS","LIMBATUS",2020-11-16,32.93581,NA
"MOBULIDAE SP.",32.7124,-27.55657,"BRUV","NRF-SAIAB MARIP",18,6,2018,"MOBULIDAE","SP.",2018-06-18,32.7124,NA
"ALOPIAS SP.",24.73319,-34.20624,"BRUV","NRF-SAIAB MARIP",15,1,2020,"ALOPIAS","SP.",2020-01-15,24.73319,NA
"SPHYRNA MOKARRAN",32.7075761463493,-27.4842680431902,"BRUV","NRF-SAIAB MARIP",11,6,2018,"SPHYRNA","MOKARRAN",2018-06-11,32.7075761463493,NA
